Model,MO Class Name,Action,Description,Return Type,Parameter Name,Parameter Description,Data Type,Range and Values,Sequence Length,Deprecated,Obsolete,Precondition,Disturbances,Dependencies,Preliminary
GNBCUCPFunction,GNBCUCPFunction,updateAmfConnection,"Orders a new DNS lookup on 5GS TAI domain names and get possible new AMFs domain names.

AMFs termpoints are created or deleted automatically. Procedure continues with DNS lookup on AMFs domain names and AMFs IP addresses retrieval. MO action can have two different options:

- Retain Existing: This option retains all AMFs and connections that are included in DNS response and AMFs and connections that are not included in the response are removed. For AMFs domain names and IP addresses that are unknown for gNodeB, gNodeB establishes connections to those AMFs.
- Renew All: The gNodeB releases all connections and AMFs, makes new DNS lookups and creates AMF termpoints and connections for AMFs that are included in DNS response.
Traffic may be disturbed by this option.",void,amfConnectionUpdateOptions,Possible options for updateAmfConnection MO action. (Mandatory),enum UpdateAmfConnectionOption,"RETAIN_EXISTING
RENEW_ALL",1,,,,Executing this action can cause loss of traffic.,,
GNBCUCPFunction,NRCellCU,promoteLwNRCellRelation,"Creates NRCellRelation, ExternalNRCellCU, and ExternalBroadcastPLMNInfo instances based on their lightweight objects.

Creates ExternalGNBCUCPFunction instance if no instance is created yet for target cell.
Thus, lightweight NR objects are promoted to MO instances.
Input parameters pLMNId and gNodeBIdLength are mandatory, while gNodeBId, cellId, nCI, and pLMNIdForGlobalRANNodeId are not.
When gNodeBId and cellId are used, nCI is not needed. When gNodeBId and cellId are used together with nCI, all parameters must be consistent.",void,pLMNId,NR cell PLMN identity (Mandatory).,struct PLMNId,,1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwNRCellRelation,"Creates NRCellRelation, ExternalNRCellCU, and ExternalBroadcastPLMNInfo instances based on their lightweight objects.

Creates ExternalGNBCUCPFunction instance if no instance is created yet for target cell.
Thus, lightweight NR objects are promoted to MO instances.
Input parameters pLMNId and gNodeBIdLength are mandatory, while gNodeBId, cellId, nCI, and pLMNIdForGlobalRANNodeId are not.
When gNodeBId and cellId are used, nCI is not needed. When gNodeBId and cellId are used together with nCI, all parameters must be consistent.",void,gNodeBIdLength,NR cell gNodeB identity length (Mandatory).,int32,22..32,1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwNRCellRelation,"Creates NRCellRelation, ExternalNRCellCU, and ExternalBroadcastPLMNInfo instances based on their lightweight objects.

Creates ExternalGNBCUCPFunction instance if no instance is created yet for target cell.
Thus, lightweight NR objects are promoted to MO instances.
Input parameters pLMNId and gNodeBIdLength are mandatory, while gNodeBId, cellId, nCI, and pLMNIdForGlobalRANNodeId are not.
When gNodeBId and cellId are used, nCI is not needed. When gNodeBId and cellId are used together with nCI, all parameters must be consistent.",void,gNodeBId,The gNodeB identity (Optional).,int64,0..4294967295,0..1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwNRCellRelation,"Creates NRCellRelation, ExternalNRCellCU, and ExternalBroadcastPLMNInfo instances based on their lightweight objects.

Creates ExternalGNBCUCPFunction instance if no instance is created yet for target cell.
Thus, lightweight NR objects are promoted to MO instances.
Input parameters pLMNId and gNodeBIdLength are mandatory, while gNodeBId, cellId, nCI, and pLMNIdForGlobalRANNodeId are not.
When gNodeBId and cellId are used, nCI is not needed. When gNodeBId and cellId are used together with nCI, all parameters must be consistent.",void,cellId,Cell identity (Optional).,int32,0..16383,0..1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwNRCellRelation,"Creates NRCellRelation, ExternalNRCellCU, and ExternalBroadcastPLMNInfo instances based on their lightweight objects.

Creates ExternalGNBCUCPFunction instance if no instance is created yet for target cell.
Thus, lightweight NR objects are promoted to MO instances.
Input parameters pLMNId and gNodeBIdLength are mandatory, while gNodeBId, cellId, nCI, and pLMNIdForGlobalRANNodeId are not.
When gNodeBId and cellId are used, nCI is not needed. When gNodeBId and cellId are used together with nCI, all parameters must be consistent.",void,nCI,NR cell identity (Optional).,int64,0..68719476735,0..1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwNRCellRelation,"Creates NRCellRelation, ExternalNRCellCU, and ExternalBroadcastPLMNInfo instances based on their lightweight objects.

Creates ExternalGNBCUCPFunction instance if no instance is created yet for target cell.
Thus, lightweight NR objects are promoted to MO instances.
Input parameters pLMNId and gNodeBIdLength are mandatory, while gNodeBId, cellId, nCI, and pLMNIdForGlobalRANNodeId are not.
When gNodeBId and cellId are used, nCI is not needed. When gNodeBId and cellId are used together with nCI, all parameters must be consistent.",void,pLMNIdForGlobalRANNodeId,Used for searching and creating of ExternalGNBCUCPFunction (Optional).,struct PLMNId,,0..1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwEUtranCellRelation,"Creates EUtranCellRelation instance based on EUtranCellRelation lightweight object.

This way lightweight EUtran cell relation is promoted to MO instance.
Additionally, if ExternalEUtranCell instance in lightweight EUtran cell relation is also a lightweight object and has ExternalENodeBFunction MO as existing parent, action also creates ExternalEUtranCell instance based on ExternalEUtranCell lightweight object.
If eNodeBId and cellId parameters are used, eCI is not needed and opposite is also true.
When eNodeBId, cellId, or both input parameters are used together with eCI, then all parameters have to be consistent.",void,pLMNId,E-UTRAN cell PLMN identity (Mandatory).,struct PLMNId,,1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwEUtranCellRelation,"Creates EUtranCellRelation instance based on EUtranCellRelation lightweight object.

This way lightweight EUtran cell relation is promoted to MO instance.
Additionally, if ExternalEUtranCell instance in lightweight EUtran cell relation is also a lightweight object and has ExternalENodeBFunction MO as existing parent, action also creates ExternalEUtranCell instance based on ExternalEUtranCell lightweight object.
If eNodeBId and cellId parameters are used, eCI is not needed and opposite is also true.
When eNodeBId, cellId, or both input parameters are used together with eCI, then all parameters have to be consistent.",void,eNodeBId,The eNodeB identity (Optional).,int32,0..1048575,0..1,,,,,,
GNBCUCPFunction,NRCellCU,promoteLwEUtranCellRelation,"Creates EUtranCellRelation instance based on EUtranCellRelation lightweight object.

This way lightweight EUtran cell relation is promoted to MO instance.
Additionally, if ExternalEUtranCell instance in lightweight EUtran cell relation is also a lightweight object and has ExternalENodeBFunction MO as existing parent, action also creates ExternalEUtranCell instance based on ExternalEUtranCell lightweight object.
If eNodeBId and cellId parameters are used, eCI is not needed and opposite is also true.
When eNodeBId, cellId, or both input parameters are used together with eCI, then all parameters have to be consistent.",void,cellId,Cell identity (Optional).,int32,0..255,0..1,,,,,,
