PmEvent Name,Compound Type,Parameter Name,GPB Field Number,PmEventHeader/Payload,Parameter Type,Containing Oneof,Filters
CuCpA1PolicyCreate,PolicyScope,ue_id,1,Payload,int64,,
CuCpA1PolicyCreate,PolicyScope,qos_id,2,Payload,int64,,
CuCpA1PolicyCreate,PolicyScope,slice_id,3,Payload,bytes,,
CuCpA1PolicyCreate,PolicyStatement,qos_priority_level,1,Payload,int64,,
CuCpA1PolicyCreate,PolicyStatement,relative_priority,2,Payload,int64,,
CuCpA1PolicyCreate,Policy,policy_scope,1,Payload,PolicyScope,,
CuCpA1PolicyCreate,Policy,policy_statement,2,Payload,PolicyStatement,,
CuCpA1PolicyQuery,PolicyScope,ue_id,1,Payload,int64,,
CuCpA1PolicyQuery,PolicyScope,qos_id,2,Payload,int64,,
CuCpA1PolicyQuery,PolicyScope,slice_id,3,Payload,bytes,,
CuCpA1PolicyQuery,PolicyStatement,qos_priority_level,1,Payload,int64,,
CuCpA1PolicyQuery,PolicyStatement,relative_priority,2,Payload,int64,,
CuCpA1PolicyQuery,PolicyQuery,policy_scope,1,Payload,PolicyScope,,
CuCpA1PolicyQuery,PolicyQuery,policy_statement,2,Payload,PolicyStatement,,
CuCpAnrEval,GlobalGnbId,plmn_identity,1,Payload,bytes,,
CuCpAnrEval,GlobalGnbId,gnb_id,2,Payload,int64,,
CuCpAnrNeighbRelAdd,NrCgi,plmn_identity,1,Payload,bytes,,
CuCpAnrNeighbRelAdd,NrCgi,nr_cell_identity,2,Payload,int64,,
CuCpAnrNeighbRelAdd,EutraCgi,plmn_identity,1,Payload,bytes,,
CuCpAnrNeighbRelAdd,EutraCgi,cell_identity,2,Payload,int64,,
CuCpAnrNeighbRelRem,NrCgi,plmn_identity,1,Payload,bytes,,
CuCpAnrNeighbRelRem,NrCgi,nr_cell_identity,2,Payload,int64,,
CuCpAnrNeighbRelRem,EutraCgi,plmn_identity,1,Payload,bytes,,
CuCpAnrNeighbRelRem,EutraCgi,cell_identity,2,Payload,int64,,
CuCpDataAwareMobilityBufMonConfig,GlobalGnbId,plmn_identity,1,Payload,bytes,,
CuCpDataAwareMobilityBufMonConfig,GlobalGnbId,gnb_id,2,Payload,int64,,
CuCpDataAwareMobilityBufMonReport,GlobalGnbId,plmn_identity,1,Payload,bytes,,
CuCpDataAwareMobilityBufMonReport,GlobalGnbId,gnb_id,2,Payload,int64,,
CuCpDataAwareMobilityBufMonReport,BufMonReport,sdu_dl_age_threshold,1,Payload,int64,,
CuCpDataAwareMobilityBufMonReport,BufMonReport,sdu_dl_oldest_age,2,Payload,int64,,
CuCpDataAwareMobilityBufMonReport,BufMonReport,sdu_dl_vol_threshold,3,Payload,int64,,
CuCpDataAwareMobilityBufMonReport,BufMonReport,sdu_dl_vol,4,Payload,int64,,
CuCpDataAwareMobilityBufMonReport,BufMonReport,pdu_session_id,5,Payload,int64,,
