PmEvent Name,Event Parameter Name,GPB Field Number,PmEventHeader/Payload,Parameter Description,Parameter Type,MANDATORY,DeprecatedSince,ReasonForDeprecation,UNIT,UsedSubrange,SupportedBands,SupportedDeployments,License,LimitationReason,EventParameterStatus,Filters,Filter Description,Filter DeprecatedSince,Filter ReasonForDeprecation,Filter Status
CuCpA1PolicyCreate,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyCreate,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyCreate,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyCreate,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyCreate,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyCreate,gnb_id,1,Payload,The gNodeB identifier.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyCreate,gnb_id_length,2,Payload,Length of gNodeB ID bit string representation.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyCreate,policy_type_id,3,Payload,Policy type Id.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyCreate,policy_id,4,Payload,Policy Id.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyCreate,policy,5,Payload,"Policy.
Consisting of PolicyScope and PolicyStatement.

PolicyScope consisting of one of the following attribute combinations:
  -ueId, qosId
  -ueId, qosId, sliceId
PolicyStatement with QoSObjectives consisting of one or both of the following attributes:
  -priorityLevel
  -relativePriority
",Policy,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyCreate,response_code,6,Payload,Response code.,enum ResponseCode,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyCreate,main_plmn_id,7,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyDelete,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyDelete,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyDelete,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyDelete,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyDelete,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyDelete,main_plmn_id,1,Payload,"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
",bytes,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyDelete,gnb_id,2,Payload,The gNodeB identifier.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyDelete,gnb_id_length,3,Payload,Length of gNodeB ID bit string representation.,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyDelete,policy_type_id,4,Payload,Policy type Id,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyDelete,policy_id,5,Payload,Policy Id,int64,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyDelete,response_code,6,Payload,Response code,enum ResponseCode,Y,23.Q2,Event deprecated.,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED,,,,,
CuCpA1PolicyQuery,time_stamp,1,PmEventHeader,Milliseconds since epoch.,int64,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQuery,system_uuid,2,PmEventHeader,System Universally Unique Identifier.,bytes,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQuery,compute_name,3,PmEventHeader,Compute name associated with compute resource in ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQuery,network_managed_element,4,PmEventHeader,Network identity of ME.,string,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
CuCpA1PolicyQuery,pm_event_job_ids,5,PmEventHeader,Jobs subscribing to event.,repeated <int64>,Y,23.Q2,Event deprecated.,,,,,,,DEPRECATED,,,,,
