Role,Model,MO Class Name,Access Rule
SystemAdministrator,ManagedElement,ManagedElement,RWX
SystemAdministrator,SystemFunctions,SystemFunctions,RWX
SystemAdministrator,Transport,Transport,RWX
SystemAdministrator,SystemFunctions,Fm and subtree,RWX
SystemAdministrator,SystemFunctions,Lm and subtree,RWX
SystemAdministrator,SystemFunctions,LogM and subtree,RWX
SystemAdministrator,SystemFunctions,Pm and subtree,RWX
SystemAdministrator,SystemFunctions,BrM and subtree,RWX
SystemAdministrator,SystemFunctions,HwInventory and subtree,RW
SystemAdministrator,SystemFunctions,SysM and subtree,RWX
SystemAdministrator,SystemFunctions,SecM,R
SystemAdministrator,SystemFunctions,CertM and subtree,R
SystemAdministrator,SystemFunctions,SwInventory and subtree,RW
SystemAdministrator,SystemFunctions,SwM and subtree,RWX
SystemAdministrator,SystemFunctions,HealthCheckM and subtree,RWX
SystemAdministrator,Equipment,Equipment and subtree,R
SystemAdministrator,Equipment,AntennaUnitGroup and subtree,RWX
SystemAdministrator,Equipment,BatteryUnit and subtree,RWX
SystemAdministrator,Equipment,Cabinet and subtree,RWX
SystemAdministrator,Equipment,CcLink and subtree,RWX
SystemAdministrator,Equipment,DiLink and subtree,RWX
SystemAdministrator,Equipment,EcBus and subtree,RWX
SystemAdministrator,Equipment,Enclosure and subtree,RWX
SystemAdministrator,Equipment,ExternalNode and subtree,RWX
SystemAdministrator,Equipment,FieldReplaceableUnit,RWX
SystemAdministrator,Equipment,AlarmPort and subtree,RWX
SystemAdministrator,Equipment,AntennaNearUnit and subtree,RWX
SystemAdministrator,Equipment,BbProcessingResource and subtree,RWX
SystemAdministrator,Equipment,BootSwUpgrade and subtree,RWX
SystemAdministrator,Equipment,DiPort and subtree,RWX
SystemAdministrator,Equipment,DotGroupConfig and subtree,RWX
SystemAdministrator,Equipment,EcPort and subtree,RWX
SystemAdministrator,Equipment,EFuse and subtree,RWX
SystemAdministrator,Equipment,EnergyMeter and subtree,RWX
SystemAdministrator,Equipment,ExtOamAgent and subtree,RWX
SystemAdministrator,Equipment,HereIAmIndication and subtree,RWX
SystemAdministrator,Equipment,IntegrityProtection and subtree,RWX
SystemAdministrator,Equipment,IplPort and subtree,RWX
SystemAdministrator,Equipment,MpProcessingResource and subtree,RWX
SystemAdministrator,Equipment,NetworkIdentity and subtree,RWX
SystemAdministrator,Equipment,ORadio and subtree,RWX
SystemAdministrator,Equipment,ORiPort and subtree,RWX
SystemAdministrator,Equipment,PimcHwacControl and subtree,RWX
SystemAdministrator,Equipment,PlugInModule and subtree,RWX
SystemAdministrator,Equipment,RadioProcessing and subtree,RWX
SystemAdministrator,Equipment,RcvdPowerScanner and subtree,RWX
SystemAdministrator,Equipment,RdiPort and subtree,RWX
SystemAdministrator,Equipment,RfPort and subtree,RWX
SystemAdministrator,Equipment,RiPort and subtree,RWX
SystemAdministrator,Equipment,SfpModule and subtree,RWX
SystemAdministrator,Equipment,SyncPort and subtree,RWX
SystemAdministrator,Equipment,SyncTestInterface and subtree,RWX
SystemAdministrator,Equipment,ThirdPartyRiPort and subtree,RWX
SystemAdministrator,Equipment,TnPort and subtree,RWX
SystemAdministrator,Equipment,Transceiver and subtree,RWX
SystemAdministrator,Equipment,HwGroup and subtree,RWX
SystemAdministrator,Equipment,OpmUnit and subtree,RWX
SystemAdministrator,Equipment,RiLink and subtree,RWX
SystemAdministrator,Equipment,RiNetwork and subtree,RWX
SystemAdministrator,Equipment,SupportUnit and subtree,RWX
SystemAdministrator,EquipmentSupportFunction,EquipmentSupportFunction and subtree,RWX
SystemAdministrator,NodeSupport,NodeSupport and subtree,RWX
SystemAdministrator,NodeSupport,OnapSupport and subtree,RWX
SystemAdministrator,NodeSupport,LicenseSupport and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,LogM and subtree,RWX
SystemSecurityAdministrator,SystemFunctions,SwInventory and subtree,R
SystemSecurityAdministrator,Equipment,Equipment and subtree,R
