Model,MO Class Name,Struct Name,Parameter Name,Sequence Length,Parameter Description,Data Type,Range and Values,Default Value,MultiplicationFactor,Unit,Resolution,Dependencies,Deprecated,Obsolete,Preliminary
ManagedElement,ManagedElement,ProductIdentity,productNumber,1,"The product number in Ericsson ABC format.
For information, refer to Ericsson Corporate Basic Standards.",string,,"""None""",,,,,,,
ManagedElement,ManagedElement,ProductIdentity,productRevision,1,"The product revision in the form R[1-9][A-Z].
For information, refer to Ericsson Corporate Basic Standards.",string,,"""None""",,,,,,,
ManagedElement,ManagedElement,ProductIdentity,productDesignation,1,Common product name.,string,,"""None""",,,,,,,
GNBCUCPFunction,DirectIPsec,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,DirectIPsec,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,ResourcePartitionMember,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,ResourcePartitionMember,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,EmCall,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,EmCall,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
GNBCUCPFunction,ExternalGNBCUCPFunction,PLMNId,mcc,1,"Mobile Country Code (MCC) identifies uniquely domicile country of mobile subscriber.

MCC consists of three decimal digits. First digit identifies geographic region. Values 1 and 8 are not allowed as first digit.
As default value, use 001.",string,Length: 3,"""None""",,,,,,,
GNBCUCPFunction,ExternalGNBCUCPFunction,PLMNId,mnc,1,"Mobile Network Code (MNC) identifies home PLMN of mobile subscription.

MNC consists of two or three decimal digits. For example, MNC of 001 is not same as MNC of 01.
As default value, use 01.",string,Length: 2..3,"""None""",,,,,,,
