FeatureStateId;description;featureStateId
CXC4012740;NR Massive MIMO Eco Mode;CXC4012740
CXC4012771;Macro Positioning Information in Traces;CXC4012771
CXC4012770;Uplink Angle-of-Arrival for Macro Positioning;CXC4012770
CXC4012763;Periodic UE Measurements;CXC4012763
CXC4012747;LTE Service-Triggered Outgoing NR IRAT Mobility;CXC4012747
CXC4012722;Nr Pm Event Decoding Schemas;CXC4012722
CXC4012780;Adaptive SRB Priority;CXC4012780
CXC4012769;High Resolution Timing Advance for Macro Positioning;CXC4012769
CXC4012720;LTE AI Powered SRS Allocation for Downlink Multi-User MIMO;CXC4012720
CXC4012737;NR Carrier Aggregation Scheduling Optimization for External SCells;CXC4012737
CXC4012765;Service-Adaptive Preemption;CXC4012765
CXC4012733;High-Priority Uplink Prescheduling High-Band for Public RAN;CXC4012733
CXC4012767;Automated Carrier Aggregation;CXC4012767
CXC4012734;High-Priority Uplink Prescheduling High-Band for Dedicated RAN;CXC4012734
CXC4012749;Uplink RAN-Assisted Rate Adaptation with L4S for Public RAN;CXC4012749
CXC4012758;LTE-Aligned Balanced TDD Pattern Mid-Band for Dedicated RAN;CXC4012758
CXC4012692;Ericsson Interference Sensing;CXC4012692
CXC4012729;Automated Radio Resource Partitioning;CXC4012729
CXC4012764;NR Service Admission Control;CXC4012764
CXC4012762;NR Aperiodic CSI Trigger Handling;CXC4012762
CXC4012701;NR UE Group Custom Classifier;CXC4012701
CXC4012797;Enhanced UE QoS Control in Uplink;CXC4012797
CXC4012768;Periodic Measurements for Macro Positioning;CXC4012768
CXC4012750;Uplink RAN-Assisted Rate Adaptation with L4S for Dedicated RAN;CXC4012750
CXC4012710;Downlink RAN-Assisted Rate Adaptation with L4S for Public RAN;CXC4012710
CXC4012742;NR Automatic Cell Lock at OAM Connection Outage;CXC4012742
CXC4012757;LTE-Aligned Balanced TDD Pattern Mid-Band for Public RAN;CXC4012757
CXC4012772;NR Flexible Downlink Resource Allocation Type Low/Mid-Band;CXC4012772
CXC4012725;NR Security-Initiated UE Measurements;CXC4012725
CXC4012706;NR Standalone High-Band with Multiple PCell Support;CXC4012706
CXC4012727;NR SIB9 Time Information Broadcast Dedicated RAN;CXC4012727
CXC4012755;Automated Energy Saver;CXC4012755
CXC4012741;UE-Assisted RRC State Preference;CXC4012741
CXC4012735;NEOS Support;CXC4012735
CXC4012711;Downlink RAN-Assisted Rate Adaptation with L4S for Dedicated RAN;CXC4012711
CXC4012774;NR Small Cell Traffic Steering;CXC4012774
CXC4012718;Service-Adaptive SR Periodicity High-Band for Dedicated RAN;CXC4012718
CXC4012775;Flexible PDCCH Monitoring;CXC4012775
CXC4012804;Ericsson Rededuced Capapability eDRX Sector Carrier;CXC4012804
CXC4012717;Service-Adaptive SR Periodicity High-Band for Public RAN;CXC4012717
CXC4012782;Priority Indication in RRC Release;CXC4012782
CXC4012761;NR 6CC DL Carrier Aggregation;CXC4012761
CXC4012726;NR SIB9 Time Information Broadcast Public RAN;CXC4012726
CXC4012712;Downlink-Triggered VoLTE Mobility;CXC4012712
CXC4012728;NR QoS-Aware Uplink Throughput Observability;CXC4012728
CXC4012713;NR Delay-Controlled Scheduling;CXC4012713
CXC4012719;NB-IoT Optimized Carrier Configuration;CXC4012719
CXC4012731;Nr Enhanced Slicing Observability;CXC4012731
CXC4012721;Robust Ul Link Adaptation For Volte;CXC4012721
CXC4012704;LTE Inter-Frequency Handover to Higher Priority;CXC4012704
CXC4012752;LTE Flexible Power Boost for Initial Access;CXC4012752
CXC4012723;NR Predictive Grant with SR Adaptation;CXC4012723
CXC4012724;NR UE Coverage Measurements;CXC4012724
CXC4012745;NR Adaptive Uplink Grant Size;CXC4012745
CXC4012732;LTE Decoupled Downlink and Uplink PDCCH Link Adaptation;CXC4012732
CXC4012634;NR SSB Time Shift Mid-Band;CXC4012634
CXC4012736;NR Data Aware Mobility;CXC4012736
CXC4012756;NR Flexible Cell Shaping Low/Mid-Band;CXC4012756
CXC4012690;NR Uplink Carrier Aggregation;CXC4012690
CXC4012270;L1bpInterfaceTestLicense;CXC4012270
CXC4012664;NR 9CC DL Carrier Aggregation High-Band;CXC4012664
CXC4012682;NR 5CC DL Carrier Aggregation;CXC4012682
CXC4012265;PIM Detection in Radio;CXC4012265
CXC4012699;Link Adaptation for Low Target Bler for Dedicated RAN;CXC4012699
CXC4012698;Link Adaptation for Low Target Bler for Public RAN;CXC4012698
CXC4012638;NR Service-Adaptive RLC Poll Retransmission;CXC4012638
CXC4012679;NR Prototyping Framework;CXC4012679
CXC4012693;LTE-NR FDD Spectrum Sharing with Dynamic Slot Aggregation;CXC4012693
CXC4012685;Link Adaptation with Low Spectral Efficiency CQI Table for Dedicated RAN;CXC4012685
CXC4012684;Link Adaptation with Low Spectral Efficiency MCS Table for Dedicated RAN;CXC4012684
CXC4012683;Link Adaptation with Low Spectral Efficiency MCS Table for Public RAN;CXC4012683
CXC4012597;Uplink Configured Grant for URLLC Dedicated RAN;CXC4012597
CXC4012596;Uplink Configured Grant for URLLC Public RAN;CXC4012596
CXC4012315;NR 8CC Downlink Carrier Aggregation High-Band;CXC4012315
CXC4012376;NR Uplink Carrier Aggregation High-Band;CXC4012376
