####################################################################################################################################                                                                                                   
MO Class                                                Attribute                             References                                                                                                                               
####################################################################################################################################                                                                                                   
GNBCUCP.AdmissionLimit                                  reservedBy[]                          GNBCUCP.NRCellCU[0-]                                                                                                                     
GNBCUCP.AdmissionPriority                               reservedBy[]                          GNBCUCP.NRCellCU[0-]                                                                                                                     
GNBCUCP.CUCP5qiTable                                    reservedBy[]                          GNBCUCP.ResourcePartition[0-]                                                                                                            
GNBCUCP.CaCellMeasProfile                               reservedBy[]                          GNBCUCP.NRCellCU[0-]                                                                                                                     
GNBCUCP.CaCellProfile                                   reservedBy[]                          GNBCUCP.NRCellCU[0-]                                                                                                                     
GNBCUCP.CaFreqRelMeasProfile                            reservedBy[]                          GNBCUCP.NRFreqRelation[0-]                                                                                                               
GNBCUCP.Chipsets                                        reservedBy[]                          GNBCUCP.PrefUeGroupSelectionProfile[0-],GNBCUCP.UeAdmissionGroupDefinition[0-],GNBCUCP.UeGroupSelectionProfile[0-],GNBCUCP.UeMobilityGrou
pDefinition[0-],GNBCUCP.UeServiceGroupDefinition[0-]                                                                                                                                                                                   
GNBCUCP.EUtranFrequency                                 reservedBy[]                          GNBCUCP.EUtranFreqRelation[0-],GNBCUCP.ExternalEUtranCell[0-]                                                                            
GNBCUCP.EndpointResource                                reservedBy[]                          GNBCUCP.GNBCUCPFunction[0-],GNBCUCP.ResourcePartitionMember[0-]                                                                          
GNBCUCP.ExternalEUtranCell                              reservedBy[]                          GNBCUCP.EUtranCellRelation[0-]                                                                                                           
GNBCUCP.ExternalNRCellCU                                reservedBy[]                          GNBCUCP.NRCellRelation[0-],GNBCUCP.RibTmRelation[0-]                                                                                     
GNBCUCP.ImeiSvGroup                                     reservedBy[]                          GNBCUCP.ImeiSvs[0-]                                                                                                                      
GNBCUCP.ImeiSvs                                         reservedBy[]                          GNBCUCP.PrefUeGroupSelectionProfile[0-],GNBCUCP.UeAdmissionGroupDefinition[0-],GNBCUCP.UeGroupSelectionProfile[0-],GNBCUCP.UeMobilityGrou
pDefinition[0-],GNBCUCP.UeServiceGroupDefinition[0-]                                                                                                                                                                                   
GNBCUCP.IntraFreqMCCellProfile                          reservedBy[]                          GNBCUCP.NRCellCU[0-]                                                                                                                     
GNBCUCP.McfbCellProfile                                 reservedBy[]                          GNBCUCP.NRCellCU[0-]                                                                                                                     
GNBCUCP.McpcNrdcPSCellProfile                           reservedBy[]                          GNBCUCP.NRCellCU[0-]                                                                                                                     
GNBCUCP.McpcPCellEUtranFreqRelProfile                   reservedBy[]                          GNBCUCP.EUtranFreqRelation[0-]                                                                                                           
