Managed Areas,MO Class,EBS MO,DU Radio Node / Baseband Radio Node support,Counter,Counter Type,Counter Size,Description,Unit,Condition,Sampling Rate,Scanner,Counter is reset after measurement period,Related PM Event,Pico Support? (Y/N)
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAdvCellSupDetection,ACC,Single,"The number of times Advanced Cell Supervision detected a ""sleeping cell"" condition.",,"""sleeping cell condition"" detected",,Not included in any pre-defined scanner,,INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAdvCellSupRecoveryCellAtt,ACC,Single,"The number of times Advanced Cell Supervision attempted a cell level recovery action due to a ""sleeping cell condition"".",,"""sleeping cell condition"" and cell level recovery attempt",,Not included in any pre-defined scanner,,INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAdvCellSupRecoveryCellSucc,ACC,Single,"The number of times Advanced Cell Supervision succeeded with a cell level recovery action due to a ""sleeping cell condition"".",,Cell level recovery succeeded,,Not included in any pre-defined scanner,,INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_RESULT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAdvCellSupRecoveryNodeAtt,ACC,Single,"The number of times Advanced Cell Supervision attempted a node level recovery action due to a ""sleeping cell condition"".",,"""sleeping cell condition"" and node level recovery attempt",,Not included in any pre-defined scanner,,INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAdvCellSupRecoveryNodeSucc,ACC,Single,"The number of times Advanced Cell Supervision succeeded with a node level recovery action due to a ""sleeping cell condition"".",,Node level recovery succeeded,,Not included in any pre-defined scanner,,INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_RESULT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgi,ACC,Single,The total number of successful CGI measurement with AG for Non-planned PCI.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgi,ACC,Single,The total number of successful CGI measurement with AG for ANR PCI Conflict.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgi,ACC,Single,The total number of successful CGI measurement with AG for ANR.,,OSS shall step this counter when the pmEvent IINTERNAL_PROC_ANR_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgi,ACC,Single,The total number of successful CGI measurement with AG for mobility to CSG cells.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_CSG_CELL_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_CSG_CELL_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiMcPtt,ACC,Single,The total number of successful CGI measurement with AG for Non-planned PCI  when the UE has MCPTT bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiMcPtt,ACC,Single,The total number of successful CGI measurement with AG for  ANR PCI Conflict when the UE has MCPTT bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_ANR_PCI_CONFLICT_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiMcPtt,ACC,Single,The total number of successful CGI measurement with AG for mobility to CSG cells when the UE has MCPTT bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_CSG_CELL_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_CSG_CELL_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiNonMcPtt,ACC,Single,The total number of successful CGI measurement with AG for Non-planned PCI  when the UE has non-MCPTT bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_NON_PLANNED_PCI_CGI_REPORT,N
,EUtranCellFDD/EUtranCellTDD,Cell,,pmAgMeasSuccCgiNonMcPtt,ACC,Single,The total number of successful CGI measurement with AG for mobility to CSG cells when the UE has non-MCPTT bearer.,,OSS shall step this counter when the pmEvent INTERNAL_PROC_CSG_CELL_CGI_REPORT is received and measurement result is successful.,,Not included in any pre-defined scanner,,INTERNAL_PROC_CSG_CELL_CGI_REPORT,N
