Event/Message Name,Enum,Logical Value,Literal Value
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_NO_VALUE,0
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_OK,1
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_MISSING_QOS_ID,2
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_MISSING_UE_ID,3
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_INVALID_QOS_ID,4
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_INVALID_UE_ID,5
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_INVALID_SLICE_ID,6
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_SERVICE_UNAVAILABLE,7
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_POLICY_ID_EXISTS,8
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_POLICY_SCOPE_OVERLAP,9
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_INSUFFICIENT_STORAGE,10
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_POLICY_TYPE_NOT_FOUND,11
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_BAD_REQUEST_CONTENT_TYPE_IS_NOT_JSON,12
CuCpA1PolicyCreate,ResponseCode,RESPONSE_CODE_NO_LICENSE,255
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_NO_VALUE,0
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_OK,1
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_POLICY_TYPE_ID_NOT_FOUND,2
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_SERVICE_UNAVAILABLE,3
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_POLICY_ID_NOT_FOUND,4
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_NO_OBJECT_EXISTS,5
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_NO_CONTENT,6
CuCpA1PolicyDelete,ResponseCode,RESPONSE_CODE_NO_LICENSE,255
CuCpA1PolicyQuery,ResponseCode,RESPONSE_CODE_NO_VALUE,0
CuCpA1PolicyQuery,ResponseCode,RESPONSE_CODE_OK,1
CuCpA1PolicyQuery,ResponseCode,RESPONSE_CODE_POLICY_TYPE_ID_NOT_FOUND,2
CuCpA1PolicyQuery,ResponseCode,RESPONSE_CODE_SERVICE_UNAVAILABLE,3
CuCpA1PolicyQuery,ResponseCode,RESPONSE_CODE_POLICY_ID_NOT_FOUND,4
CuCpA1PolicyQuery,ResponseCode,RESPONSE_CODE_NO_OBJECT_EXISTS,5
CuCpA1PolicyQuery,ResponseCode,RESPONSE_CODE_NO_LICENSE,255
CuCpA1PolicyQueryAll,ResponseCode,RESPONSE_CODE_NO_VALUE,0
CuCpA1PolicyQueryAll,ResponseCode,RESPONSE_CODE_OK,1
CuCpA1PolicyQueryAll,ResponseCode,RESPONSE_CODE_POLICY_TYPE_ID_NOT_FOUND,2
CuCpA1PolicyQueryAll,ResponseCode,RESPONSE_CODE_SERVICE_UNAVAILABLE,3
CuCpA1PolicyQueryAll,ResponseCode,RESPONSE_CODE_NO_LICENSE,255
CuCpA1PolicyStatusQuery,ResponseCode,RESPONSE_CODE_NO_VALUE,0
CuCpA1PolicyStatusQuery,ResponseCode,RESPONSE_CODE_OK,1
CuCpA1PolicyStatusQuery,ResponseCode,RESPONSE_CODE_POLICY_TYPE_ID_NOT_FOUND,2
CuCpA1PolicyStatusQuery,ResponseCode,RESPONSE_CODE_SERVICE_UNAVAILABLE,3
CuCpA1PolicyStatusQuery,ResponseCode,RESPONSE_CODE_POLICY_ID_NOT_FOUND,4
CuCpA1PolicyStatusQuery,ResponseCode,RESPONSE_CODE_NO_OBJECT_EXISTS,5
CuCpA1PolicyStatusQuery,ResponseCode,RESPONSE_CODE_NO_LICENSE,255
CuCpA1PolicyStatusQuery,EnforceStatus,ENFORCE_STATUS_NO_VALUE,0
CuCpA1PolicyStatusQuery,EnforceStatus,ENFORCE_STATUS_NOT_ENFORCED,1
CuCpA1PolicyStatusQuery,EnforceStatus,ENFORCE_STATUS_ENFORCED,2
CuCpA1PolicyStatusQuery,EnforceStatus,ENFORCE_STATUS_NO_LICENSE,255
CuCpA1PolicyStatusQuery,EnforceReason,ENFORCE_REASON_NO_VALUE,0
CuCpA1PolicyStatusQuery,EnforceReason,ENFORCE_REASON_CREATED,1
CuCpA1PolicyStatusQuery,EnforceReason,ENFORCE_REASON_OTHER,2
CuCpA1PolicyStatusQuery,EnforceReason,ENFORCE_REASON_NO_LICENSE,255
CuCpAnrEval,MeasurementType,MEASUREMENT_TYPE_NO_VALUE,0
CuCpAnrEval,MeasurementType,MEASUREMENT_TYPE_BETTER_INTRA_FREQ_P_CELL,1
CuCpAnrEval,MeasurementType,MEASUREMENT_TYPE_BETTER_INTRA_FREQ_PS_CELL_EN_DC,2
CuCpAnrEval,MeasurementType,MEASUREMENT_TYPE_BETTER_INTRA_FREQ_LTM_CANDIDATE_P_CELL,3
CuCpAnrEval,MeasurementType,MEASUREMENT_TYPE_A3_INTER_FREQ_CANDIDATE_P_CELL,4
CuCpAnrEval,MeasurementType,MEASUREMENT_TYPE_NO_LICENSE,255
CuCpAnrEval,AnrEvalResult,ANR_EVAL_RESULT_NO_VALUE,0
CuCpAnrEval,AnrEvalResult,ANR_EVAL_RESULT_SUCCESS,1
CuCpAnrEval,AnrEvalResult,ANR_EVAL_RESULT_NO_ACTION_TOO_WEAK_TARGET_SIGNAL,2
CuCpAnrEval,AnrEvalResult,ANR_EVAL_RESULT_NO_LICENSE,255
CuCpAnrNeighbRelAdd,RatType,RAT_TYPE_NO_VALUE,0
CuCpAnrNeighbRelAdd,RatType,RAT_TYPE_NR,1
CuCpAnrNeighbRelAdd,RatType,RAT_TYPE_EUTRA,2
CuCpAnrNeighbRelAdd,RatType,RAT_TYPE_NO_LICENSE,255
CuCpAnrNeighbRelAdd,AnrCause,ANR_CAUSE_NO_VALUE,0
CuCpAnrNeighbRelAdd,AnrCause,ANR_CAUSE_ENDC_MOBILITY,1
CuCpAnrNeighbRelAdd,AnrCause,ANR_CAUSE_CGI_REPORT,2
CuCpAnrNeighbRelAdd,AnrCause,ANR_CAUSE_AUTOMATIC_PROMOTION_BY_MOBILITY,3
CuCpAnrNeighbRelAdd,AnrCause,ANR_CAUSE_AUTOMATIC_PROMOTION_BY_PCI_CONFLICT,4
CuCpAnrNeighbRelAdd,AnrCause,ANR_CAUSE_AUTOMATIC_PROMOTION_BY_ACA,5
CuCpAnrNeighbRelAdd,AnrCause,ANR_CAUSE_NO_LICENSE,255
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_NO_VALUE,0
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_SUCCESS,1
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_FAILURE_REJECT_NEIGHB_REL_CARDINALITY,2
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_FAILURE_REJECT_NEIGHB_REL_CELLRELATIONMOTHRESH,3
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_FAILURE_REJECT_NEIGHB_CELL_NODE_CARDINALITY,4
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_FAILURE_REJECT_SAME_RDN_NEIGHB_REL_FOUND,5
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_FAILURE_REJECT_NEIGHB_OBJ_SYSTEM_LIMIT,6
CuCpAnrNeighbRelAdd,AnrResult,ANR_RESULT_NO_LICENSE,255
CuCpAnrNeighbRelRem,RatType,RAT_TYPE_NO_VALUE,0
