PmEvent Name,Event Id,Event Type,Event Description and Trigger,STANDARDIZED or PROPRIETARY,Event Groups,Message Trace Depth (UE Trace),Interface Classification (UE Trace),DeprecatedSince,ReasonForDeprecation,Periodicity (seconds),SupportedBands,SupportedDeployments,License,LimitationReason,EventStatus
CuCpA1PolicyCreate,3306,CUCP,Generated for Create Policy in A1 policy procedure.,PROPRIETARY,,,,23.Q2,Planned to be removed. Replaced by CuCpOranA1PolicyCreate.,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED
CuCpA1PolicyDelete,3307,CUCP,Generated for Delete Policy in A1 policy procedure.,PROPRIETARY,,,,23.Q2,Planned to be removed. Replaced by CuCpOranA1PolicyDelete.,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED
CuCpA1PolicyQuery,3309,CUCP,Generated for Quary Policy in A1 policy procedure.,PROPRIETARY,,,,23.Q2,Planned to be removed. Replaced by CuCpOranA1PolicyQuery.,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED
CuCpA1PolicyQueryAll,3308,CUCP,Generated for Query All Policy Identifiers in  A1 policy procedure.,PROPRIETARY,,,,23.Q2,Planned to be removed. Replaced by CuCpOranA1PolicyQueryAll.,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED
CuCpA1PolicyStatusQuery,3310,CUCP,Create Policy for A1 policy procedure.,PROPRIETARY,,,,23.Q2,Planned to be removed. Replaced by CuCpOranA1PolicyStatusQuery.,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,Deprecated and Obsolete,DEPRECATED
CuCpAmfAutoCreate,3311,CUCP,Monitors automatic AMF term-point creation based on DNS Lookup on 5GS TAI.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpAmfAutoDelete,3312,CUCP,Monitors automatic AMF term-point deletion based on DNS Lookup on 5GS TAI.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band",NR SA,,,USED
CuCpAnrEval,3268,UE,This event for NR is used to monitor the ANR activity.,PROPRIETARY,,"0,1,2",UU,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA",,,USED
CuCpAnrNeighbRelAdd,3170,NRCELL,Automatic addition or promotion of neighbor cell relation.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
CuCpAnrNeighbRelRem,3207,NRCELL,Automatic removal or demotion of neighbor cell relation.,PROPRIETARY,,,,,,,"Low-band, Mid-band, High-band","EN-DC, NR SA, CR EN-DC, CR NR SA",,,USED
