Event Parameter Name,ARRAY Sub-parameter Name,Parameter Description,Parameter Size,Parameter Type,Logical value,Literal value,Parameter Resolution,Parameter Unit,Deprecated Since
EVENT_ARRAY_ASM_STATUS,EVENT_PARAM_ASM_STATUS,Array where elements indicate asmStatus attribute value for each of cell relations.,10,ARRAY,,,,,
EVENT_ARRAY_CAPACITY_CELL_ID,EVENT_PARAM_CAPACITY_CELL_ID,Array of the global cell ids of the capacity cells.,16,ARRAY,,,,,
EVENT_ARRAY_COVERAGE_CELL_ID,EVENT_PARAM_COVERAGE_CELL_ID,Array of the global cell ids of the coverage cells.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_ACTIVE_ARP,EVENT_PARAM_ERAB_ARP,Active ARP for each ERAB when SgNB addition is attempted.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_ACTIVE_GBR,EVENT_PARAM_ERAB_GBR,Active GBR (Guaranteed Bit rate) for each ERAB when SgNB addition is attempted.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_ACTIVE_QCI,EVENT_PARAM_ERAB_QCI,Active QCI for each ERAB when SgNB addition is attempted.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_ACTUAL_QCI,EVENT_PARAM_ERAB_QCI,Actual QCI for each ERAB,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_ADM_CTRL_BLOCKING_ARP,EVENT_PARAM_ADM_CTRL_BLOCKING_ARP,"Blocking ARP level or overload indication at admission control reject. The ARP blocking level is applicable when an MSR has rejected, both when pre-emption was attempted and not attempted. The indication is for each E-RAB .",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_ADM_CTRL_REJECTING_MSR_PREEMPTION_ATTEMPTED,EVENT_PARAM_ADM_CTRL_REJECTING_MSR_PREEMPTION_ATTEMPTED,Indicates the MSR in admission control that is rejecting prior to a pre-emption was attempted. The indication is for each E-RAB .,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_BEARER_ID,EVENT_PARAM_BEARER_ID,Array with RB ID values for each data radio bearer,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_DATA_LOST,EVENT_PARAM_ERAB_DATA_LOST_IND,"Array where element position indicates UE  ERABs that wasn't successfully established in target and had data in UL/DL buffers at the release. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_ENDC_BEARER_TYPE,EVENT_PARAM_ERAB_ENDC_BEARER_TYPE,ENDC Bearer type foe each ERAB when SgNB addition is completed - See 36.423.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_HO_EXEC_IN_QCI,EVENT_PARAM_ERAB_QCI,QCI for each ERAB in the handover execution attempt,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_HO_EXEC_OUT_QCI,EVENT_PARAM_ERAB_QCI,QCI for each ERAB in the handover execution attempt,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_HO_EXEC_OUT_SERVICE_TYPE,EVENT_PARAM_ERAB_SERVICE_TYPE,Service Type for each ERAB in the handover execution attempt,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_HO_PREP_SERVICE_TYPE,EVENT_PARAM_ERAB_SERVICE_TYPE,Requested Service Type for each ERAB,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_INACTIVE_GAP,EVENT_PARAM_ERAB_INACTIVE_GAP_IND,"Array where element position indicates UE  ERABs had inactive gap. Indexed by 0..15. Position 0=ERAB Id 0, position 1=ERAB Id 1 etc.",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_MODIFY_REQ_ARP,EVENT_PARAM_ERAB_ARP,Requested ARP for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_MODIFY_REQ_GBR,EVENT_PARAM_ERAB_GBR,Requested Guaranteed Bit rate (GBR) for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_MODIFY_REQ_PCI,EVENT_PARAM_ERAB_PCI,Requested Pre-emption Capability Indicator (PCI) for each ERAB in the request.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_MODIFY_REQ_PVI,EVENT_PARAM_ERAB_PVI,Requested Pre-emption Vulnerability Indicator (PVI) for each ERAB in the request.,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_MODIFY_REQ_QCI,EVENT_PARAM_ERAB_QCI,Requested QCI for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_MODIFY_RESULT,EVENT_PARAM_ERAB_MODIFY_RESULT,Modify result for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_NOT_ADMITTED_BEARER_ID,EVENT_PARAM_BEARER_ID,Array with RB ID values for each data radio bearer,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_REEST_REQ_ARP,EVENT_PARAM_ERAB_ARP,ARP Priority Level for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_REEST_REQ_QCI,EVENT_PARAM_ERAB_QCI,Requested QCI for each ERAB in the RRC Reestablishment Request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_REEST_RESULT,EVENT_PARAM_REESTAB_RESULT,RRC Re-establishment result for each ERAB in the request,16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RELEASE_FAILURE_3GPP_CAUSE,EVENT_PARAM_3GPP_CAUSE,"Array with 3GPP S1 Cause values for each ERAB in a failed release, element position indicates E-RAB Id and element value indicates which Failure Cause value was applicable for that E-RAB Id.  Needs to be used jointly with EVENT_ARRAY_ERAB_RELEASE_FAILURE_3GPP_CAUSE_GROUP",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RELEASE_FAILURE_3GPP_CAUSE_GROUP,EVENT_PARAM_3GPP_CAUSE_GROUP,"Array with 3GPP S1 Cause Group values for each ERAB in a failed release, element position indicates E-RAB Id and element value indicates which Failure Cause Group value was applicable for that E-RAB Id.  Needs to be used jointly with EVENT_ARRAY_ERAB_RELEASE_FAILURE_3GPP_CAUSE",16,ARRAY,,,,,
EVENT_ARRAY_ERAB_RELEASE_REQ_3GPP_CAUSE,EVENT_PARAM_3GPP_CAUSE,"Array with 3GPP S1 Cause values for each ERAB in a release, element position indicates E-RAB Id and element value indicates which Cause value was applicable for that E-RAB.    Needs to be used jointly with EVENT_ARRAY_ERAB_RELEASE_REQ_3GPP_CAUSE_GROUP",16,ARRAY,,,,,
