pmEvent Name,Event Parameter Name,'UNAVAILABLE' possible (Y/N),Pico Support (Y/N),Deprecated since
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_TIMESTAMP_HOUR,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_TIMESTAMP_MINUTE,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_TIMESTAMP_SECOND,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_TIMESTAMP_MILLISEC,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_SCANNER_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_RBS_MODULE_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_GLOBAL_CELL_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STARTED,EVENT_PARAM_ADMISSION_ARP_LEVEL,Y,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,EVENT_PARAM_TIMESTAMP_HOUR,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,EVENT_PARAM_TIMESTAMP_MINUTE,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,EVENT_PARAM_TIMESTAMP_SECOND,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,EVENT_PARAM_TIMESTAMP_MILLISEC,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,EVENT_PARAM_SCANNER_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,EVENT_PARAM_RBS_MODULE_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_STOPPED,EVENT_PARAM_GLOBAL_CELL_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_TIMESTAMP_HOUR,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_TIMESTAMP_MINUTE,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_TIMESTAMP_SECOND,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_TIMESTAMP_MILLISEC,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_SCANNER_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_RBS_MODULE_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_GLOBAL_CELL_ID,N,N,
INTERNAL_EVENT_ADMISSION_BLOCKING_UPDATED,EVENT_PARAM_ADMISSION_ARP_LEVEL,Y,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_TIMESTAMP_HOUR,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_TIMESTAMP_MINUTE,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_TIMESTAMP_SECOND,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_TIMESTAMP_MILLISEC,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_SCANNER_ID,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_RBS_MODULE_ID,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_GLOBAL_CELL_ID,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_DETECTION,EVENT_PARAM_ADV_CELL_SUP_RULE,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,EVENT_PARAM_TIMESTAMP_HOUR,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,EVENT_PARAM_TIMESTAMP_MINUTE,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,EVENT_PARAM_TIMESTAMP_SECOND,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,EVENT_PARAM_TIMESTAMP_MILLISEC,N,N,
INTERNAL_EVENT_ADV_CELL_SUP_RECOVERY_ATTEMPT,EVENT_PARAM_SCANNER_ID,N,N,
